デバイスUID,GPS時刻,緯度,経度,向き,速度,高度,エンジン回転数,アクセル踏み込み,燃料使用量,燃料レベル,主電源電圧,エンジン冷却温度,エンジン負荷,エンジン警告灯,累積走行距離
atrack-358683062461653,2016-10-03T06:44:29,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:32,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:35,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:38,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:41,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:44,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:47,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:50,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:53,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:56,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:44:59,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,74,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:02,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:05,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:08,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:11,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:14,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:17,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:20,35.675186,139.774118,60,0,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:23,35.675186,139.774118,60,6,6,0,17,0.8,10.3,14.4,73,0,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:26,35.675186,139.774118,60,18,6,1408,18,0.8,10.3,14.4,73,34,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:29,35.675186,139.774118,60,29,6,1930,26,0.8,10.3,14.4,73,85,FALSE,13.4
atrack-358683062461653,2016-10-03T06:45:32,35.674876,139.774314,136,37,0,2107,27,0.8,10.3,14.4,73,78,FALSE,13.5
atrack-358683062461653,2016-10-03T06:45:35,35.674766,139.77452,127,38,0,1822,18,0.8,10.3,14.4,73,63,FALSE,13.5
atrack-358683062461653,2016-10-03T06:45:38,35.674683,139.77476,118,35,0,1326,14,0.8,10.3,14.3,74,6,FALSE,13.5
atrack-358683062461653,2016-10-03T06:45:41,35.674588,139.774938,118,25,0,0,21,0.8,10.3,14.4,74,0,FALSE,13.5
atrack-358683062461653,2016-10-03T06:45:44,35.674548,139.775064,116,21,0,0,14,0.8,10.3,14.4,74,0,FALSE,13.6
